Employee_ID,Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned
1,IT,Male,56,Specialist,2022-01-19 08:03:05.556036,5,High School,5,92077,38,6,36,0,5,3,36,5,2.77,False
2,Finance,Male,44,Developer,2024-04-18 08:03:05.556036,18,High School,5,81342,54,6,33,7,5,28,30,2,4.38,False
3,Finance,Male,48,Specialist,2015-10-26 08:03:05.556036,8,High School,2,65449,43,15,15,10,2,23,14,2,3.77,False
4,Customer Support,Female,41,Analyst,2016-10-22 08:03:05.556036,5,Bachelor,2,29099,26,24,12,13,2,25,33,1,2.51,False
5,Engineering,Female,33,Analyst,2021-07-23 08:03:05.556036,10,Bachelor,1,35653,38,24,4,1,2,20,59,2,1.03,False
6,IT,Male,42,Manager,2016-08-14 08:03:05.556036,10,High School,3,75218,42,10,12,8,0,3,30,3,3.55,False
7,IT,Male,55,Technician,2023-08-28 08:03:05.556036,15,Bachelor,1,37985,54,18,37,13,4,10,23,4,3.47,False
8,Engineering,Female,42,Engineer,2014-10-27 08:03:05.556036,6,Bachelor,2,49411,42,14,12,0,3,17,10,1,1.43,False
9,Marketing,Female,25,Technician,2023-06-29 08:03:05.556036,10,High School,2,21974,31,12,7,13,3,26,82,2,3.94,False
10,Engineering,Female,25,Consultant,2016-12-23 08:03:05.556036,0,Bachelor,1,36705,44,8,1,14,1,3,71,0,1.31,False
11,Customer Support,Male,37,Engineer,2019-11-26 08:03:05.556036,11,Bachelor,3,60723,49,14,19,0,1,21,21,0,3.79,False
12,Customer Support,Male,55,Technician,2015-02-19 08:03:05.556036,18,Bachelor,5,35711,53,15,34,6,3,16,61,2,3.14,False
13,HR,Male,46,Technician,2019-07-04 08:03:05.556036,9,Bachelor,4,29643,54,24,23,12,2,29,19,3,2.47,False
14,Engineering,Male,42,Analyst,2014-10-14 08:03:05.556036,13,Bachelor,4,57592,40,10,23,9,2,16,17,3,3.72,False
15,Finance,Male,21,Analyst,2023-03-11 08:03:05.556036,3,Master,2,20077,24,9,3,0,1,22,26,0,3.15,False
16,Customer Support,Male,26,Developer,2023-04-19 08:03:05.556036,7,High School,2,50326,33,5,6,1,0,5,83,0,4.76,False
17,Operations,Male,43,Engineer,2019-09-21 08:03:05.556036,5,Bachelor,1,49734,42,19,8,7,2,15,23,1,2.17,False
